國泰,台銀,富邦,台股,IBKR,貸款已還,合計,資產總額,原始資本,資本增值,期間存入款,實際投資獲利,IBKR-US,USD/TWD,國泰貸款,國泰貸款餘額,日期,現金,備註,TSM
"295,443","262,412","1,562,403","7,510,250","6,420,480","233,449","16,284,437","16,050,988","13,400,000","2,884,437","700,000","2,184,437","209,000",30.72,"6,970,000","6,736,551",2025/10/28,"2,120,258","2,025","900,000"
"295,443","262,412","1,562,403","7,510,250","6,232,184","233,449","16,096,141","15,862,692","13,400,000","2,696,141","700,000","1,996,141","204,200",30.52,"6,970,000","6,736,551",,"2,120,258",,
"258,168","304,249","1,339,323","7,712,323","6,062,810","233,449","15,910,322","15,676,873","13,400,000","2,510,322","700,000","1,810,322","193,700",31.30,"6,970,000","6,736,551",,"1,901,740",,
"234,160","304,349","8,059,913","696,903","6,240,332","256,786","15,792,443","15,535,657","13,400,000","2,392,443","700,000","1,692,443","198,800",31.39,"6,970,000","6,713,214",2025/11/30,"8,598,422",,
"285,745","325,482","1,323,337","7,435,615","5,643,390","280,571","15,294,140","15,013,569","13,400,000","1,894,140","700,000","1,194,140","180,300",31.30,"6,970,000","6,689,429",2025/12/13,"1,934,564",貸款月繳,"23,785"
"281,710","356,112","591,855","9,320,574","5,715,541","303,996","16,569,788","16,265,792","13,400,000","3,169,788","700,000","2,469,788","180,700",31.63,"6,970,000","6,666,004",2026/1/13,"1,229,677",,
"279,962","356,152","591,855","10,140,000","5,950,681","303,996","17,622,646","17,318,650","13,400,000","4,222,646","700,000","3,522,646","190,300",31.27,"6,970,000","6,666,004",2026/1/28,"1,227,969",,
"223,527","356,152","591,855","9,845,000","5,910,673","303,996","17,231,203","16,927,207","13,400,000","3,831,203","700,000","3,131,203","187,700",31.49,"6,970,000","6,666,004",2026/2/1,"1,171,534",,
"187,603","570,152","381,556","9,874,500","5,239,730","327,465","16,581,006","16,253,541","13,400,000","3,181,006","900,000","2,281,006","165,500",31.66,"6,970,000","6,642,535",2026/2/6,"1,139,311",年終獎金,
"174,741","591,852","1,332,715","9,742,698","5,265,402","327,465","17,434,873","17,107,408","13,400,000","4,034,873","900,000","3,134,873","167,432",31.45,"6,970,000","6,642,535",2026/2/18,"2,099,308",,
"661,191",52,"1,561,698","9,632,189","5,308,075","352,179","17,515,384","17,163,205","13,400,000","4,115,384","900,000","3,215,384","167,500",31.69,"6,970,000","6,617,821",2026/03/03,"2,222,941",,
"579,971","36,735","60,835","12,083,568","5,838,600","375,738","18,975,447","18,599,709","13,400,000","5,575,447","900,000","4,675,447","185,000",31.56,"6,970,000","6,594,262",2026/04/17,"677,541",,
"579,971","36,735","60,835","11,935,575","5,976,802","375,738","18,965,656","18,589,918","13,400,000","5,565,656","900,000","4,665,656","189,800",31.49,"6,970,000","6,594,262",2026/04/23,"677,541",,
"493,353","36,735","60,835","12,079,336","6,083,868","375,738","19,129,865","18,754,127","13,400,000","5,729,865","900,000","4,829,865","193,200",31.49,"6,970,000","6,594,262",2026/04/23,"590,923",,
"433,499","36,735","60,835","12,667,451","6,288,000","375,738","19,862,258","19,486,520","13,400,000","6,462,258","900,000","5,562,258","200,000",31.44,"6,970,000","6,594,262",2026/04/25,"531,069",,
"509,895","51,714","61,825","13,372,074","6,269,390","399,738","20,664,636","20,264,898","13,400,000","7,264,636","1,020,000","6,244,636","200,300",31.30,"6,970,000","6,570,262",2026/05/10,"623,434","2,290",
"572,621","62,556","292,799","12,972,263","6,453,335","399,738","20,753,312","20,353,574","13,400,000","7,353,312","1,140,000","6,213,312","205,200",31.45,"6,970,000","6,570,262",2026/05/24,"927,976","2,255","120,000"
"287,765","111,009","46,370","13,730,971","7,498,240","447,472","22,121,827","21,674,355","13,400,000","8,721,827","1,140,000","7,581,827","232,000",32.32,"6,970,000","6,522,528",2026/07/22,"445,144","2,255","120,000"
